dataset_id,source_archive,layer_name,layer_kind,scenario,geometry_type_code,feature_count,dbf_row_count,crs,bounds_native,columns_schema,codebook,official_source,official_url,version_date,license_review,validation_result,safety_boundary
fujisawa_liquefaction_distribution_scenario_01,02_.zip,LiqS-01都心南部直下地震_統合後_rectangle,液状化分布,LiqS-01都心南部直下地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_distribution_scenario_02,02_.zip,LiqS-02三浦半島断層群の地震_統合後_rectangle,液状化分布,LiqS-02三浦半島断層群の地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_distribution_scenario_03,02_.zip,LiqS-03神奈川県西部地震_統合後_rectangle,液状化分布,LiqS-03神奈川県西部地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_distribution_scenario_04,02_.zip,LiqS-04東海地震_統合後_rectangle,液状化分布,LiqS-04東海地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_distribution_scenario_05,02_.zip,LiqS-05大正型関東地震_統合後_rectangle,液状化分布,LiqS-05大正型関東地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_distribution_scenario_06,02_.zip,LiqS-06元禄型関東地震_統合後_rectangle,液状化分布,LiqS-06元禄型関東地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_distribution_scenario_07,02_.zip,LiqS-07相模トラフ沿いの最大クラスの地震_統合後_rectangle,液状化分布,LiqS-07相模トラフ沿いの最大クラスの地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_distribution_scenario_08,02_.zip,LiqS-08南海トラフ巨大地震_統合後_rectangle,液状化分布,LiqS-08南海トラフ巨大地震_統合後_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""bic"", ""type"": ""C"", ""length"": 3, ""decimals"": 0}, {""name"": ""I"", ""type"": ""N"", ""length"": 10, ""decimals"": 3}, {""name"": ""PL"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""沈下量S"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}, {""name"": ""液状化層厚"", ""type"": ""N"", ""length"": 10, ""decimals"": 2}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
fujisawa_liquefaction_hazard_r6_01,14_.zip,R06更新版_MAP液状化危険度沈下量20250215v01_rectangle,液状化危険度,R06更新版_MAP液状化危険度沈下量20250215v01_rectangle,5,38043,38043,EPSG:4612,"[138.915625, 35.127083, 139.796875, 35.672917]","[{""name"": ""No"", ""type"": ""N"", ""length"": 10, ""decimals"": 0}, {""name"": ""MeshCode"", ""type"": ""C"", ""length"": 10, ""decimals"": 0}, {""name"": ""建物棟数"", ""type"": ""F"", ""length"": 31, ""decimals"": 15}, {""name"": ""PL"", ""type"": ""F"", ""length"": 31, ""decimals"": 15}, {""name"": ""沈下量S"", ""type"": ""F"", ""length"": 31, ""decimals"": 15}, {""name"": ""危険度ラ"", ""type"": ""C"", ""length"": 6, ""decimals"": 0}, {""name"": ""沈下量ラ"", ""type"": ""C"", ""length"": 6, ""decimals"": 0}]",data_definition.xlsx,Kanagawa Prefecture candidate; source binding requires receipt review,UNKNOWN_NO_SOURCE_URL_OR_ACQUISITION_RECEIPT_IN_SCOPED_FOLDER,2025-02-05/15 where encoded in layer name; otherwise source receipt required,LICENSE_REVIEW_REQUIRED,LICENSE_REVIEW_REQUIRED,OVERLAP_ONLY; DO_NOT_DERIVE_CLOSED_DAMAGE_STATE_DEBRIS_SAFE_UNSAFE
