city_id,source_class,source_staged,normalized_ingested,viewer_connected,snapshot_at,raw_sha256,analysis_input_sha256,node_count,edge_count,component_count,official_hazard_geometry,admin_validated
kyoto_kiyomizu,VGI,true,true,true,2026-08-30T00:00:00Z,3d21ce674776c5c3e37c507c09a9458e062d2d31f5718b3e702313838ef7d2ec,5551956603fee8b6dd010189f328afec244d99953d10ae0474c58b5f756ed18a,21,19,2,NOT_CONNECTED,false
kyoto_arashiyama,VGI,true,true,true,2026-08-29T00:00:00Z,1cde93d68bebf633989e825cbd5ac1e772cee81508043f44beb311250a1e8013,6a112e75707cbde55bbb8b3c00bbbea01cff700c8ace8af6c2d5e90fa692ebf4,530,578,9,NOT_CONNECTED,false
fujisawa_enoshima,VGI,true,true,true,2026-08-30T00:00:00Z,c016cd4d6e2e6de4c5a43ba181dd24ec34f3ae774fbd83662fd795f700ad3d04,0b280d737c27ead8d67f5a8397774b684386c67c7df4ff60d062a200ca25bdf2,16,15,1,NOT_CONNECTED,false
