source_id,revision,source_sha256,derived_artifact,transform,status
kyoto_city_landslide_gis_20260830,2026-01-22,ac40e0b7116d81516dc10e279f5ca67ba48bbece68dc1164ec8f1d3e0c095828,kyoto_kiyomizu/landslide_aoi_selection.geojson,FULL_SOURCE_SCAN_WHOLE_FEATURE_AOI_SELECTION,CONNECTED_FOR_SOURCE_SIDE_ANALYSIS
kyoto_city_landslide_gis_20260830,2026-01-22,ac40e0b7116d81516dc10e279f5ca67ba48bbece68dc1164ec8f1d3e0c095828,kyoto_arashiyama/landslide_aoi_selection.geojson,FULL_SOURCE_SCAN_WHOLE_FEATURE_AOI_SELECTION,CONNECTED_FOR_SOURCE_SIDE_ANALYSIS
nlni_a40_2020_kanagawa_tsunami,2020,6b3192e4ed4f8f28d057e4738ecc0d2e7bef232d6adc3022f2d6aec8375f7479,fujisawa_enoshima/tsunami_a40_aoi_selection.geojson,FULL_SOURCE_SCAN_WHOLE_FEATURE_AOI_SELECTION,CONNECTED_FOR_SOURCE_SIDE_ANALYSIS
kyoto_emergency_shelters_r80818,R8.8.18,e1c03e4e0f830d10430b6a0fb1e1669886c3708cdc61164e5471cea7f9a4d639,kyoto_facility_source_fields.json,OFFICIAL_NUMBER_JOIN,SOURCE_ATTRIBUTES_BOUND_CURRENT_STATE_UNKNOWN
kyoto_designated_shelters_r80818,R8.8.18,a30cf1556380359a1fa8fc69e4641fbfb7c3c099595818ac24c01417c9e28246,kyoto_facility_source_fields.json,OFFICIAL_NUMBER_JOIN,SOURCE_ATTRIBUTES_BOUND_CURRENT_STATE_UNKNOWN
kyoto_public_toilets_00307,2026-03-06,a46448d7bb6fe814631b1230e69ce6d825d36ccf0ddb35dc339bc49ed60fc764,kyoto_facility_source_fields.json,EXACT_SOURCE_COORDINATE_IDENTITY_JOIN,SOURCE_ATTRIBUTES_BOUND_CURRENT_STATE_UNKNOWN
