schema_version,scenario_id,data_status,demand,origin_status,demand_status,capacity_status,profile_status,kpi_status,reason,source_id,source_feature_id,stable_feature_id,revision_id,lineage
1.0.0,EQ_LOW,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_COMPUTED,NOT_COMPUTED,OFFICIAL_DEMAND_ORIGIN_CAPACITY_AND_PROFILE_UNAVAILABLE,,,KK-DEMAND-EQ-LOW,metadata-v1,NO_SYNTHETIC_DEMAND_CREATED
1.0.0,EQ_MEDIUM,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_COMPUTED,NOT_COMPUTED,OFFICIAL_DEMAND_ORIGIN_CAPACITY_AND_PROFILE_UNAVAILABLE,,,KK-DEMAND-EQ-MEDIUM,metadata-v1,NO_SYNTHETIC_DEMAND_CREATED
1.0.0,EQ_HIGH,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_COMPUTED,NOT_COMPUTED,OFFICIAL_DEMAND_ORIGIN_CAPACITY_AND_PROFILE_UNAVAILABLE,,,KK-DEMAND-EQ-HIGH,metadata-v1,NO_SYNTHETIC_DEMAND_CREATED
